date,Dublin,Cork,Kerry,Knock,Shannon,All,year
2023-04-01,3045300.8456368195,201751.32363438368,31861.199686592394,75740.76542462021,131094.06351297448,3380858.498628449,2023
2023-05-01,3297089.03702134,233865.1461144439,34775.4233744588,80683.75169773276,161746.62993862794,3687900.6640586695,2023
2023-06-01,3531667.7365057706,271376.921740366,36323.480685633665,89782.41358207684,193818.22558220915,3983132.3774230587,2023
2023-07-01,3741681.5089804623,284767.2349893079,39666.71969281884,103969.84700360408,209213.5595810013,4228285.377913747,2023
2023-08-01,3679831.978742767,275638.18802585,42136.83801877956,105873.59754682911,206734.69818609298,4168720.67084458,2023
2023-09-01,3371991.8976988527,226114.33861511495,35359.91751183424,81608.25772367646,165894.47739768098,3756084.640970533,2023
2023-10-01,3306262.839689721,219229.04679366006,34604.742678591945,80278.28822180344,146995.25393406174,3650632.5331728095,2023
2023-11-01,2831385.1140588922,172798.161556929,24464.17697790482,59187.647010370194,110550.99275077289,3092718.179992233,2023
2023-12-01,2811741.6125381133,167108.46443323293,24255.747694471094,58620.96750194507,107430.59542756656,3061698.545904322,2023
2024-01-01,2725335.875607625,161360.67991612703,21484.15080950832,51801.68753143521,94388.20773868075,2948719.5017075823,2024
2024-02-01,2742825.5483173546,167047.91459315893,22968.9093227121,57135.75546671701,94453.49754325754,2974059.7461787676,2024
2024-03-01,3132344.928496171,193952.54268767667,26623.785892672222,64211.801885701236,118768.5535012634,3401133.200739459,2024
2024-04-01,3252203.454379876,208661.80451575876,32608.70819806972,78891.3706558302,132423.03806755485,3565684.683871494,2024
2024-05-01,3503991.6457643965,240775.62699581898,35522.93188593612,83834.35692894274,163075.60449320832,3871985.587619562,2024
2024-06-01,3738570.3452488272,278287.40262174106,37070.98919711099,92933.01881328682,195147.20013678953,4166580.0889090667,2024
2024-07-01,3948584.117723519,291677.71587068297,40414.22820429617,107120.45223481406,210542.53413558166,4411677.491913042,2024
2024-08-01,3886734.587485824,282548.6689072251,42884.34653025689,109024.20277803909,208063.67274067336,4352389.010813535,2024
2024-09-01,3578894.5064419094,233024.81949649003,36107.426023311564,84758.86295488644,167223.45195226136,3940073.880604311,2024
2024-10-01,3513165.4484327775,226139.52767503515,35352.25119006927,83428.89345301341,148324.2284886421,3834596.1186735793,2024
2024-11-01,3038287.722801949,179708.6424383041,25211.685489382144,62338.25224158017,111879.96730535326,3277478.2856839276,2024
2024-12-01,3018644.22128117,174018.94531460802,25003.25620594842,61771.57273315505,108759.56998214693,3246210.969186909,2024
2025-01-01,2932238.484350682,168271.16079750212,22231.659320985644,54952.292762645186,95717.18229326112,3133181.6547528054,2025
2025-02-01,2949728.1570604113,173958.39547453402,23716.417834189426,60286.36069792699,95782.47209783792,3158462.603196117,2025
2025-03-01,3339247.5372392274,200863.02356905176,27371.294404149547,67362.40711691121,120097.52805584378,3585142.4630123577,2025
2025-04-01,3459106.063122933,215572.28539713385,33356.21670954704,82041.97588704017,133752.01262213523,3749992.9583241316,2025
2025-05-01,3710894.254507453,247686.10787719407,36270.44039741345,86984.96216015272,164404.5790477887,4055987.3291738946,2025
2025-06-01,3945472.953991884,285197.88350311614,37818.497708588315,96083.6240444968,196476.1746913699,4350318.325052487,2025
2025-07-01,4155486.7264665756,298588.19675205805,41161.73671577349,110271.05746602404,211871.50869016204,4595392.73690617,2025
2025-08-01,4093637.1962288804,289459.14978860016,43631.85504173421,112174.80800924907,209392.64729525373,4536218.483142441,2025
2025-09-01,3785797.115184966,239935.30037786512,36854.93453478889,87909.46818609642,168552.42650684173,4124036.05411917,2025
2025-10-01,3720068.057175834,233050.00855641023,36099.759701546594,86579.49868422339,149653.2030432225,4018547.683470986,2025
2025-11-01,3245190.3315450056,186619.12331967917,25959.19400085947,65488.85747279015,113208.94185993363,3461759.234352862,2025
2025-12-01,3225546.8300242266,180929.4261959831,25750.764717425744,64922.17796436503,110088.5445367273,3430389.494098416,2025
2026-01-01,3139141.0930937384,175181.6416788772,22979.16783246297,58102.897993855164,97046.1568478415,3317339.3914839323,2026
2026-02-01,3156630.765803468,180868.8763559091,24463.92634566675,63436.96592913697,97111.4466524183,3342595.8193244394,2026
2026-03-01,3546150.145982284,207773.50445042684,28118.80291562687,70513.01234812119,121426.50261042416,3769112.916460942,2026
2026-04-01,3666008.6718659895,222482.76627850893,34103.72522102437,85192.58111825015,135080.9871767156,3934087.061857822,2026
2026-05-01,3917796.86325051,254596.58875856915,37017.94890889077,90135.5673913627,165733.55360236907,4239954.672590334,2026
2026-06-01,4152375.5627349406,292108.36438449123,38566.00622006564,99234.22927570678,197805.14924595028,4534176.7014478715,2026
2026-07-01,4362389.335209632,305498.67763343314,41909.245227250816,113421.66269723402,213200.4832447424,4779241.605803588,2026
2026-08-01,4300539.804971937,296369.63066997525,44379.36355321154,115325.41324045905,210721.6218498341,4720114.588308973,2026
2026-09-01,3992699.7239280227,246845.7812592402,37602.44304626621,91060.0734173064,169881.4010614221,4307987.035020032,2026
2026-10-01,3926970.665918891,239960.48943778532,36847.26821302392,89730.10391543337,150982.17759780286,4202494.277363876,2026
2026-11-01,3452092.940288062,193529.60420105426,26706.702512336793,68639.46270400012,114537.91641451401,3645842.0378937414,2026
2026-12-01,3432449.438767283,187839.9070773582,26498.27322890307,68072.783195575,111417.51909130768,3614429.9424872957,2026
2027-01-01,3346043.701836795,182092.1225602523,23726.676343940293,61253.503225065135,98375.13140242187,3501371.243365889,2027
2027-02-01,3363533.3745465246,187779.3572372842,25211.434857144075,66587.57116034694,98440.42120699867,3526617.53123609,2027
2027-03-01,3753052.7547253408,214683.98533180193,28866.311427104196,73663.61757933116,122755.47716500453,3953067.3213511226,2027
2027-04-01,3872911.280609046,229393.24715988402,34851.23373250169,88343.18634946011,136409.96173129597,4118092.59959336,2027
2027-05-01,4124699.4719935665,261507.06963994424,37765.4574203681,93286.17262257266,167062.52815694944,4423907.791393306,2027
2027-06-01,4359278.171477997,299018.8452658663,39313.514731542964,102384.83450691674,199134.12380053065,4718084.7592722615,2027
2027-07-01,4569291.943952689,312409.1585148082,42656.75373872814,116572.26792844398,214529.4577993228,4963145.732005751,2027
2027-08-01,4507442.413714994,303280.11155135033,45126.87206468886,118476.01847166901,212050.59640441448,4904038.248058903,2027
2027-09-01,4199602.33267108,253756.2621406153,38349.95155774354,94210.67864851636,171210.37561600248,4491933.387455009,2027
2027-10-01,4133873.274661948,246870.9703191604,37594.776724501244,92880.70914664333,152311.15215238323,4386438.815645633,2027
2027-11-01,3658995.5490311193,200440.08508242934,27454.211023814118,71790.0679352101,115866.89096909438,3829842.902759188,2027
2027-12-01,3639352.0475103403,194750.38795873328,27245.781740380393,71223.38842678498,112746.49364588805,3798413.292286453,2027
2028-01-01,3552946.310579852,189002.60344162738,24474.184855417618,64404.10845627511,99704.10595700225,3685351.0382636585,2028
2028-02-01,3570435.9832895817,194689.83811865927,25958.9433686214,69738.17639155692,99769.39576157904,3710593.1329662357,2028
2028-03-01,3959955.3634683974,221594.46621317702,29613.81993858152,76814.22281054113,124084.4517195849,4137015.0897035766,2028
2028-04-01,4079813.8893521028,236303.7280412591,35598.74224397902,91493.79158067009,137738.93628587635,4302061.512839262,2028
2028-05-01,4331602.080736623,268417.5505213193,38512.96593184542,96436.77785378264,168391.5027115298,4607855.02791193,2028
2028-06-01,4566180.780221053,305929.3261472414,40061.02324302029,105535.43973812672,200463.09835511103,4902013.361787944,2028
2028-07-01,4776194.552695746,319319.6393961833,43404.262250205466,119722.87315965396,215858.43235390316,5147072.708683236,2028
2028-08-01,4714345.02245805,310190.5924327254,45874.380576166186,121626.62370287899,213379.57095899485,5087973.3024168555,2028
2028-09-01,4406504.941414136,260666.74302199038,39097.46006922086,97361.28387972634,172539.35017058285,4675877.825887014,2028
2028-10-01,4340775.883405005,253781.4512005355,38342.28523597857,96031.31437785331,153640.1267069636,4570382.503873414,2028
2028-11-01,3865898.157774176,207350.56596380443,28201.719535291442,74940.67316642008,117195.86552367476,4013809.8836397068,2028
2028-12-01,3846254.656253397,201660.86884010836,27993.290251857718,74373.99365799496,114075.46820046843,3982373.0301863034,2028
2029-01-01,3759848.919322909,195913.08432300246,25221.693366894942,67554.71368748508,101033.08051158262,3869309.30611015,2029
2029-02-01,3777338.5920326384,201600.31900003436,26706.451880098724,72888.7816227669,101098.37031615942,3894549.666818032,2029
2029-03-01,4166857.972211454,228504.9470945521,30361.328450058845,79964.82804175111,125413.42627416528,4320960.113657938,2029
2029-04-01,4286716.498095159,243214.2089226342,36346.25075545634,94644.39681188007,139067.91084045672,4486015.2808115985,2029
2029-05-01,4538504.68947968,275328.0314026944,39260.474443322746,99587.38308499262,169720.4772661102,4791799.831937797,2029
2029-06-01,4773083.38896411,312839.8070286165,40808.53175449761,108686.0449693367,201792.0729096914,5085950.460120847,2029
2029-07-01,4983097.161438802,326230.1202775584,44151.77076168279,122873.47839086394,217187.40690848354,5331009.134685562,2029
2029-08-01,4921247.631201107,317101.0733141005,46621.88908764351,124777.22893408897,214708.54551357523,5271913.068770997,2029
2029-09-01,4613407.550157193,267577.22390336543,39844.96858069819,100511.88911093632,173868.32472516323,4859821.472824068,2029
2029-10-01,4547678.492148061,260691.93208191055,39089.79374745589,99181.91960906329,154969.10126154398,4754325.840579573,2029
2029-11-01,4072800.7665172326,214261.0468451795,28949.228046768767,78091.27839763006,118524.84007825513,4197762.852523711,2029
2029-12-01,4053157.2649964537,208571.34972148342,28740.798763335042,77524.59888920494,115404.4427550488,4166323.0038907235,2029
2030-01-01,3966751.5280659655,202823.56520437752,25969.201878372267,70705.31891869506,102362.055066163,4053258.6719054775,2030
2030-02-01,3984241.200775695,208510.79988140942,27453.96039157605,76039.38685397687,102427.34487073979,4078498.315556978,2030
2030-03-01,4373760.580954511,235415.42797592716,31108.83696153617,83115.43327296109,126742.40082874565,4504904.002725226,2030
2030-04-01,4493619.106838216,250124.68980400925,37093.75926693367,97795.00204309005,140396.8853950371,4669962.785780311,2030
2030-05-01,4745407.298222736,282238.51228406944,40007.98295480007,102737.9883162026,171049.45182069056,4975743.630058366,2030
2030-06-01,4979985.997707167,319750.2879099915,41556.04026597494,111836.65020054668,203121.04746427177,5269891.071717069,2030
2030-07-01,5189999.770181859,333140.6011589334,44899.279273160115,126024.08362207391,218516.3814630639,5514949.468253868,2030
2030-08-01,5128150.239944164,324011.55419547553,47369.397599120835,127927.83416529895,216037.5200681556,5455854.783670279,2030
2030-09-01,4820310.15890025,274487.70478474046,40592.47709217551,103662.4943421463,175197.2992797436,5043764.792455331,2030
2030-10-01,4754581.100891118,267602.4129632856,39837.30225893322,102332.52484027327,156298.07581612436,4938269.031921492,2030
2030-11-01,4279703.375260289,221171.52772655452,29696.73655824609,81241.88362884003,119853.8146328355,4381710.027046555,2030
2030-12-01,4260059.87373951,215481.83060285845,29488.307274812367,80675.20412041491,116733.41730962918,4350268.939821178,2030
2031-01-01,4173654.1368090217,209734.04608575255,26716.71038984959,73855.92414990504,103691.02962074337,4237204.356448142,2031
